filename,title,author,description,category,language,source_url,added_by,date_added
الرجل النبيل.pdf,الرجل النبيل,علي بن جابر الفيفي,كتاب يصف الرسول صلى الله عليه وسلم بطريقة أدبية,سيرة,ar,,عبدالله الراوي,
لأنك الله.pdf,لأنك الله,علي بن جابر الفيفي,أسماء الله الحسنى بطريقة جميلة وأدبية,عقيدة,ar,,عبدالله الراوي,29/8/2026
الحرب على الكسل.pdf,الحرب على الكسل,خالد أبو شادي,كتاب تزكوي يعرض طرق التغلب على الكسل والفتور,تزكية,ar,,عبدالله الراوي,29/8/2026
صور من حياة الصحابة.pdf,صور من حياة الصحابة,عبدالرحمن رأفت الباشا,كتاب يعرض حياة الصحابة وسيرهم بطريقة أدبية,سيرة,ar,,عبدالله الراوي,29/8/2026
المختصر في تفسير القرآن الكريم.pdf,المختصر في تفسير القرآن الكريم,مركز تفسير للدراسات القرآنية,مختصر في التفسير لجمع من العلماء سهل اللغة والعبارة,تفسير,ar,,,
شرح الأربعين النووية لابن عثيمين.pdf,شرح الأربعين النووية لابن عثيمين,ابن عثيمين,شرح مفصل على الأربعين النووية مع الإعراب والفوائد,حديث,ar,,عبدالله الراوي,29/8/2026
الرحيق المختوم.pdf,الرحيق المختوم,صفي الرحمن المباركفوري,كتاب جميل ومناسب للمبتدئين في السيرة يعرض حياة النبي صلى الله عليه وسلم من مولده حتى وفاته مرورا بالهجرة والغزوات بأسلوب مرتب,سيرة,ar,,,
من معين السيرة.pdf,من معين السيرة,صالح أحمد الشامي,كتاب يهدف إلى الاهتداء بالسيرة في الواقع فيما يعرف بفقه السيرة أو السيرة التحليلية,سيرة,ar,,,
تذكرت ليلى.pdf,تذكرت ليلى,أبو قيس,كتاب للمبتدئين في تذوق الشعر وهو في قصيدة المجنون قيس الشهيرة القصيدة المؤنسة,شعر,ar,,,
أحكام الطهارة والصلاة.pdf,أحكام الطهارة والصلاة,عثمان الخميس,شرح مبسط وسهل لأحكام الطهارة والصلاة,فقه,ar,,,
قانون التأسيس العقدي.pdf,قانون التأسيس العقدي,سلطان العميري,كتاب يتمحور حول علم العقيدة وليس مسائلها فهو يسعى إلى التعريف لعلم العقيدة وأهم ما يحتاجه الدارس إلى معرفته عن علم العقيدة,عقيدة,ar,https://archive.org/details/20240728_20240728_1942,عبدالرحمن عريقات,30/8/2026
تيسير الكريم الرحمن.pdf,تفسير السعدي,عبدالرحمن السعدي,تفسير مختصر للقرآن الكريم بعبارة واضحة ,تفسير,ar,https://surahquran.com/tafsir-assadi/altafsir.html,عبدالرحمن عريقات,30/8/2026
بداية العابد وكفاية الزاهد.pdf,بداية العابد وكفاية  الزاهد,عبدالرحمن البعلي الحنبلي,متن فقهي حنبلي مختصر مقتصر على باب العبادات ,فقه,ar,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%A8%D8%AF%D8%A7%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D8%A8%D8%AF-%D9%88%D9%83%D9%81%D8%A7%D9%8A%D8%A9-%D8%A7%D9%84%D8%B2%D8%A7%D9%87%D8%AF-%D9%81%D9%8A-%D8%A7%D9%84%D9%81%D9%82%D9%87-%D8%B9%D9%84%D9%89-%D9%85%D8%B0%D9%87%D8%A8-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D9%85-%D8%A3%D8%AD%D9%85%D8%AF-%D8%A8%D9%86-%D8%AD%D9%86%D8%A8%D9%84-pdf,عبدالرحمن عريقات,30/8/2026
غريب القرآن.pdf,غريب القرآن,ابن قتيبة الدينوري,كتاب مختص بالكلمات والمعاني الغريبة في القرآن الكريم,تفسير,ar,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%AA%D9%81%D8%B3%D9%8A%D8%B1-%D8%BA%D8%B1%D9%8A%D8%A8-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D9%86-%D8%A7%D8%A8%D9%88-%D9%85%D8%AD%D9%85%D8%AF-%D8%B9%D8%A8%D8%AF-%D8%A7%D9%84%D9%84%D9%87-%D8%A8%D9%86-%D9%85%D8%B3%D9%84%D9%85-%D8%A8%D9%86-%D9%82%D8%AA%D9%8A%D8%A8%D9%87-pdf,عبدالرحمن عريقات,30/8/2026
الفصل بين النفس والعقل.pdf,الفصل بين النفس والعقل,عبدالعزيز الطريفي,يوضح لنا الكتاب العلاقة بين العقل والنفس وحقيقة كل واحد منهما وخصائصهما، ويحدثنا عن العقول الذكية والنفوس القوية، ونقص المعلومة وأثره في العقل، والمؤثرات في العقول وأنواعها، وكيف أن ميل النفس إلى شيء مؤثر في ضبط العقل له، ويحدثنا عن مراعاة المعلم والمتعلم، وأثر الطبائع، وتوافق طبع النفس مع العمل الصحيح، وقيود العقل على الشهوات، وعواقبها، وغير ذلك من المحاور الهامة.,تزكية,ar,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%A7%D9%84%D9%81%D8%B5%D9%84-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D9%86%D9%81%D8%B3-%D9%88%D8%A7%D9%84%D8%B9%D9%82%D9%84-pdf-pdf,عبدالرحمن عريقات,30/8/2026
شرح مختصر الروضة.pdf,شرح مختصر الروضة,نجم الدين الطوفي,هوكتاب أصول فقه حنبلي متوسطوهو شرح لكتاب مختصر الروضة (البلبل) ,أصول الفقه,ar,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B4%D8%B1%D8%AD-%D9%85%D8%AE%D8%AA%D8%B5%D8%B1-%D8%A7%D9%84%D8%B1%D9%88%D8%B6%D8%A9-%D8%AA-%D8%A7%D9%84%D8%AA%D8%B1%D9%83%D9%8A-pdf,عبدالرحمن عريقات,30/8/2026
